127.0.0.1 - - [29/May/2023:00:17:21 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:23 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7117
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:23 +0300] "GET /ecommerce/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:23 +0300] "GET /ecommerce/images/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:23 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:27 +0300] "GET /ecommerce/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:27 +0300] "GET /ecommerce/css/auth.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:27 +0300] "GET /ecommerce/images/bg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:39 +0300] "POST /ecommerce/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:39 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7311
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:42 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:42 +0300] "GET /ecommerce/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:17:42 +0300] "GET /ecommerce/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:18:17 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/May/2023:00:18:23 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14330
0:0:0:0:0:0:0:1 - - [29/May/2023:00:18:57 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 500 3288
0:0:0:0:0:0:0:1 - - [29/May/2023:00:19:46 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14390
0:0:0:0:0:0:0:1 - - [29/May/2023:00:20:11 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:20:10 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:20:10 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:20:11 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15071
0:0:0:0:0:0:0:1 - - [29/May/2023:00:20:11 +0300] "GET /ecommerce/img/6d60ee97-824b-4c26-b009-d5db7dfbe2da HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:14 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15071
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:14 +0300] "GET /ecommerce/img/6d60ee97-824b-4c26-b009-d5db7dfbe2da HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:27 +0300] "POST /ecommerce/DeleteProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:27 +0300] "GET /ecommerce/admin-product-management.jsp HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:32 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 14196
0:0:0:0:0:0:0:1 - - [29/May/2023:00:27:53 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 500 2039
0:0:0:0:0:0:0:1 - - [29/May/2023:00:29:28 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [29/May/2023:00:29:33 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7117
0:0:0:0:0:0:0:1 - - [29/May/2023:00:29:35 +0300] "GET /ecommerce/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/May/2023:00:29:45 +0300] "POST /ecommerce/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:29:45 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7311
